precision,recall,threshold
0.03015966883500887,1.0,5.3102596043544005e-06
0.03017751479289941,1.0,6.4172718817803235e-06
0.03019538188277087,1.0,6.434830283327851e-06
0.030213270142180094,1.0,6.461057078877976e-06
0.03023117960877297,1.0,6.521623770965125e-06
0.030249110320284697,1.0,6.52457194454119e-06
0.030285035629453682,1.0,6.526400635221554e-06
0.030612244897959183,1.0,6.553455374115193e-06
0.03063063063063063,1.0,6.587118198347014e-06
0.03064903846153846,1.0,6.640016835521333e-06
0.030704394942805538,1.0,6.740118854047467e-06
0.03072289156626506,1.0,6.742041829011915e-06
0.030797101449275364,1.0,6.7572249335633125e-06
0.030890369473046637,1.0,6.845702093976286e-06
0.030946601941747573,1.0,6.863554262312487e-06
0.031192660550458717,1.0,6.8643036859467476e-06
0.03128834355828221,1.0,6.879236982620058e-06
0.0313460356484327,1.0,6.883712606047482e-06
0.03153988868274583,1.0,6.986735921555711e-06
0.03163771712158809,1.0,6.988801080858537e-06
0.031736154324828875,1.0,7.10012171653104e-06
0.031815346225826574,1.0,7.101123912700093e-06
0.031835205992509365,1.0,7.102724690367514e-06
0.031875,1.0,7.119292652184811e-06
0.032095657646318436,1.0,7.12009755499588e-06
0.03215636822194199,1.0,7.140940445076411e-06
0.032176656151419555,1.0,7.159485042045561e-06
0.032196969696969696,1.0,7.176307359214453e-06
0.03229892336922103,1.0,7.216430381851391e-06
0.03231939163498099,1.0,7.287190224770503e-06
0.03236040609137056,1.0,7.2906220514451935e-06
0.03238095238095238,1.0,7.352478715006754e-06
0.032401524777636595,1.0,7.376136684449592e-06
0.032463399108847865,1.0,7.434090806607378e-06
0.03248407643312102,1.0,7.437826497411247e-06
0.03267136450992953,1.0,7.43943199287037e-06
0.032692307692307694,1.0,7.461329356329562e-06
0.032776349614395885,1.0,7.558414277765015e-06
0.03279742765273312,1.0,7.56081261529359e-06
0.032903225806451615,1.0,7.62011379200349e-06
0.0329244673983215,1.0,7.676177491889188e-06
0.03294573643410853,1.0,7.689889922358609e-06
0.03300970873786408,1.0,7.716683333107938e-06
0.033031088082901554,1.0,7.767837559444255e-06
0.0356145251396648,1.0,7.798392942028613e-06
0.03563941299790356,1.0,7.871866406583916e-06
0.03566433566433566,1.0,7.905513532584735e-06
0.03568929321203639,1.0,7.970329277419978e-06
0.03571428571428571,1.0,7.981670677767492e-06
0.03576437587657784,1.0,8.01680415493208e-06
0.035789473684210524,1.0,8.021448641209134e-06
0.03581460674157303,1.0,8.065657359672912e-06
0.03666427030913012,1.0,8.068188180263045e-06
0.03669064748201439,1.0,8.070351261828762e-06
0.0398749022673964,1.0,8.094092105194042e-06
0.04025256511444357,1.0,8.09753848378396e-06
0.04225352112676056,1.0,8.120914013444028e-06
0.04228855721393035,1.0,8.135834813364112e-06
0.04232365145228216,1.0,8.161392523978633e-06
0.04235880398671096,1.0,8.20984228322908e-06
0.04314720812182741,1.0,8.212451320363565e-06
0.043220338983050846,1.0,8.212616242069487e-06
0.04525288376220053,1.0,8.232910706844849e-06
0.0452930728241563,1.0,8.240812396813852e-06
0.045373665480427046,1.0,8.245716645539703e-06
0.04541406945681211,1.0,8.281213060961307e-06
0.04627949183303085,1.0,8.296235404390137e-06
0.04632152588555858,1.0,8.299003383657786e-06
0.04640582347588717,1.0,8.303071856623718e-06
0.04649042844120328,1.0,8.323907470746634e-06
0.046532846715328466,1.0,8.328119037545643e-06
0.046918123275068994,1.0,8.344830026203719e-06
0.04696132596685083,1.0,8.361553275442419e-06
0.04722222222222222,1.0,8.361926774599946e-06
0.04866412213740458,1.0,8.382010236604496e-06
0.04871060171919771,1.0,8.386932421930491e-06
0.04875717017208413,1.0,8.388715031545966e-06
0.04941860465116279,1.0,8.390341814402538e-06
0.04951456310679612,1.0,8.390413058154176e-06
0.04956268221574344,1.0,8.392920231882064e-06
0.05054509415262636,1.0,8.41417118191879e-06
0.050746268656716415,1.0,8.41494061443649e-06
0.05079681274900399,1.0,8.419215845864623e-06
0.05177664974619289,1.0,8.419392894166569e-06
0.05198776758409786,1.0,8.42432458865563e-06
0.05204081632653061,1.0,8.43511768740302e-06
0.05209397344228805,1.0,8.435307967986946e-06
0.05214723926380368,1.0,8.448237518633298e-06
0.052200614124872056,1.0,8.448435182148482e-06
